"class","probe"
"CI-P","PGR"
"CI-P","AFF3"
"CI-P","CLSTN2"
"CI-P","SCUBE2"
"CI-P","GFRA1"
"CI-P","BMPR1B"
"CI-P","SCGB1D2"
"CI-P","NPY1R"
"CI-P","ANKRD30A"
"CI-P","FGF10"
"CI-P","MAPT"
"CI-P","GP2"
"CI-P","CYP4Z1"
"CI-P","GDF9"
"CI-P","STC2"
"CI-P","AGTR1"
"CI-P","PIP"
"CI-P","OPRPN"
"CI-P","TAT"
"CI-P","CPB1"
"CI-P","UGT2B11"
"CI-P","CYP4F8"
"CI-P","LRP2"
"CI-P","CLEC3A"
"CI-P","SLC30A8"
"CI-P","UGT2B28"
"CI-P","DCD"
"CI-P","CARTPT"
"CI-P","KRTAP3-3"
"CI-P","PXDNL"
"CI-P","LACRT"
"CI-P","LRP1B"
"CI-P","HAO2"
"CI-P","CSN1S1"
"CI-P","ARHGAP36"
"CI-P","BTN1A1"
"CI-P","GRIA1"
"CI-P","OTP"
"CI-P","CYP11A1"
"CI-P","HSD3B2"
"CI-P","KLHL1"
"CI-P","PROK1"
"CI-P","PZP"
"CI-P","CHGB"
"CI-P","HDC"
"CI-P","GLRA3"
"CI-P","IGSF1"
"CI-P","PCSK1"
"CI-P","APCS"
"CI-P","CYP19A1"
"CI-G","GZMB"
"CI-G","PSMB9"
"CI-G","LAG3"
"CI-G","IFNG"
"CI-G","GBP5"
"CI-G","CCL5"
"CI-G","NKG7"
"CI-G","CXCL10"
"CI-G","GBP1"
"CI-G","AIM2"
"CI-G","GNLY"
"CI-G","GZMH"
"CI-G","GZMA"
"CI-G","WARS1"
"CI-G","IDO1"
"CI-G","CXCL11"
"CI-G","CXCL9"
"CI-G","BCL2A1"
"CI-G","ADAMDEC1"
"CI-G","KLHDC7B"
"CI-G","PLA2G2D"
"CI-G","KIR2DL1"
"CI-G","TCL1A"
"CI-G","SPIB"
"CI-G","VMO1"
"CI-G","GPR15"
"CI-G","MSTN"
"CI-G","PYY"
"CI-G","CCL19"
"CI-G","RTP3"
"CI-G","PHKG1"
"CI-G","KRT36"
"CI-G","MUC7"
"CI-G","ATP4B"
"CI-G","KRT79"
"CI-G","MEPE"
"CI-G","LIPF"
"CI-G","CASP14"
"CI-G","APOA2"
"CI-G","IBSP"
"CI-G","PPBP"
"CI-G","CYP1A1"
"CI-G","IFITM5"
"CI-G","VTN"
"CI-G","AHSG"
"CI-G","CBLIF"
"CI-G","LRRC38"
"CI-G","DEFA5"
"CI-G","PGA5"
"CI-G","HTR3E"
