Signature,Group
PredictTax,Tax
Oshi.2021.Sig,Tax
RB.Sig,Tax
CIN70.Sig,Tax
GGI.Sig,Tax
Zhu.2020.Sig,Tax
RB.loss.Sig,Tax
CES.Sig,Tax
Birkbak.2018.Sig,Tax
RAD51.Sig,Tax
TYMS.Sig,Tax
Juul.2010.Sig,Tax
Tegafur_uracil.Sig,Tax
CD96.Sig,Tax
DTG_S.Sig,Tax
Weng.2022.Sig,Tax
ILB.Sig,Tax
NEPAL.Sig,Tax
TOP2A.Sig,Tax
BRCAness.Sig,Tax
Fu.2021.Sig,Tax
PredictICI,ICI
GEP.Sig,ICI
GBP2.Sig,ICI
Roh.immune.Sig,ICI
IFN.Y.28.Sig,ICI
CTLA4.Sig,ICI
Atezolizumab.Sig,ICI
APM.Sig,ICI
IFNy4gene.Sig,ICI
PDL1.Sig,ICI
CYT.Sig,ICI
CD8A.Sig,ICI
IFN.Y.10.Sig,ICI
TSE.Sig,ICI
Hwang.2020.Sig,ICI
Inflamed20genes.Sig,ICI
NI.score.Sig,ICI
PD1.Sig,ICI
SELECT1.Sig,ICI
HOT.score.Sig,ICI
CD96.Sig,ICI
DDIR.Sig,Tax
Oncotype.DX.Sig,Tax
IMPRES.Sig,ICI
